Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$2.2488,214350293.1,88416203.6,41.2485%,$482025005.8,$198827911.4,71018494.9,$159704425.6,285368788,$641729431.4,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,true
TWT-8C2,$1.0619,194395188.3,131977980.4,67.8916%,$206419588.2,$140141536.4,805604794.7,$855435833.7,999999982.99909999,$1061855421.9,0x4B0F1812e5Df2A09796481Ff14017e6005508003,true
ANKR-E97,$0.0928,9058644592.3,229967638.6,2.5387%,$840378883.4,$21334311.7,941355407.7,$87330416.6,10000000000,$927709300,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$285.7889,599870.5,166578.6,27.7691%,$171436328,$47606323.8,129.5,$37000.6,600000,$171473328.6,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,false
Cake,$19.77,235096614.2,233604996.9,99.3655%,$4647860062.6,$4618370788.1,0,$0,235096614.191340923117987544,$4647860062.6,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$1.0264,1000000000,879996480.3,87.9996%,$1026384150,$903214439.5,0,$0,1000000000,$1026384150,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$30.8513,29956211.6,28213646.6,94.183%,$924187637.4,$870427268,0,$0,29956211.559307539953400642,$924187637.4,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$4.0789,17043738.5,9245845.8,54.2478%,$69518950.5,$37712471.4,0,$0,17043738.484302361731591228,$69518950.5,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$18.4506,19250000,17107510.5,88.8702%,$355174118.4,$315643893.1,0,$0,19250000,$355174118.4,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$1.9718,9101047.5,7148736,78.5485%,$17945770,$14096132.6,0,$0,9101047.515271,$17945770,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
FIS,$1.8294,500000,395299.2,79.0598%,$914706.4,$723165.4,0,$0,500000,$914706.4,0xF4bafAEAE73a4A7C8b6479970075e91e641fB1FC,true
SPARTA,$0.4256,2934982.7,2924403.3,99.6395%,$1248981.9,$1244479.8,0,$0,2934982.682132628788922367,$1248981.9,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,143948599.9,143948599.9,100%,$0,$0,0,$0,143948599.87728823,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
BAKE,$2.0081,289148444.8,261209499.7,90.3375%,$580639021,$524534822.4,0,$0,289148444.827883370816680566,$580639021,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,true
