Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$2.302,85720786.6,55188477.6,64.3817%,$197331840.4,$127045542.7,203994139.4,$469600671.6,289714926,$666932511.9,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,false
TWT-8C2,$0.632,179059769.2,83683858.7,46.7352%,$113165962.2,$52888286.6,820940228.8,$518835086.6,999999998,$632001048.7,0x4B0F1812e5Df2A09796481Ff14017e6005508003,false
ANKR-E97,$0.0282,9058933850.5,212939073.3,2.3506%,$255903920,$6015271.2,941066149.5,$26583980,10000000000,$282487900,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$116.6118,599966.8,43381.7,7.2307%,$69963205.6,$5058812.9,33.2,$3866.5,600000,$69967072.1,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,false
Cake,$14.0531,121177675.9,104002571.1,85.8265%,$1702924561,$1461560733.2,0,$0,121177675.875750721548383061,$1702924561,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$1.5176,1000000000,132815530.5,13.2816%,$1517602080,$201561125.3,0,$0,1000000000,$1517602080,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$69.8845,30000000,26965823.2,89.8861%,$2096534331.3,$1884492471.2,0,$0,30000000,$2096534331.3,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$7.1088,11879108.9,5733983.7,48.2695%,$84445696.1,$40761495.3,0,$0,11879108.904423444255339225,$84445696.1,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$0,19250000,18892361.5,98.1421%,$0,$0,0,$0,19250000,$0,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$1.7371,8529036.7,3600863.1,42.2189%,$14815838.3,$6255079.8,0,$0,8529036.664605,$14815838.3,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
SPARTA,$1.36,63277048.9,33943698.8,53.643%,$86056786.5,$46163430.4,0,$0,63277048.870625123474052695,$86056786.5,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,217970968.1,217970968.1,100%,$0,$0,0,$0,217970968.10884191,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
BAKE,$1.6162,132233560.8,35797482.9,27.0714%,$213717846.5,$57856424,0,$0,132233560.834498720908380087,$213717846.5,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,true
ANY,$5.83,2401113.1,2401113.1,100%,$13998489.2,$13998489.2,0,$0,2401113.070193887553617367,$13998489.2,0xF68C9Df95a18B2A5a5fa1124d79EEEffBaD0B6Fa,true
RAVEN,$0.0015,343741059.4,342741056.4,99.7091%,$525594.3,$524065.2,0,$0,343741059.37840586,$525594.3,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,true
STM,$0.0204,99000000,99000000,100%,$2021192.9,$2021192.9,0,$0,99000000,$2021192.9,0x90DF11a8ccE420675e73922419e3f4f3Fe13CCCb,true
CAN,$0,2135479.7,551998.7,25.8489%,$0,$0,0,$0,2135479.745401824474398525,$0,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,true
STAX,$1.8697,16616340.2,16616340.2,100%,$31067940.6,$31067940.6,0,$0,16616340.210839303310331436,$31067940.6,0x0Da6Ed8B13214Ff28e9Ca979Dd37439e8a88F6c4,true
FRIES,$158.0802,31646,31419.1,99.283%,$5002604.3,$4966733.3,0,$0,31645.989180119369157252,$5002604.3,0x393B312C01048b3ed2720bF1B090084C09e408A1,true
