Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$0.348,214471754.4,139351465.3,64.9743%,$74644397.7,$48499655.5,70897033.6,$24674887.3,285368788,$99319285,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,true
TWT-8C2,$0.9182,212622350.9,203705950.9,95.8065%,$195229842.6,$187042804.1,786989714.3,$722613955.7,999612065.183594015039084711,$917843798.3,0x4B0F1812e5Df2A09796481Ff14017e6005508003,true
ANKR-E97,$0.0303,9059761458.1,262318845.5,2.8954%,$274387468.8,$7944690.9,940238541.9,$28476431.2,10000000000,$302863900,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$48.1269,599838.1,283050.1,47.1877%,$28868336.7,$13622316.7,161.9,$7791.4,600000,$28876128.2,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,false
Cake,$4.53,332805837.4,329631799.8,99.0463%,$1507610443.6,$1493232053.1,0,$0,332805837.444618152871709434,$1507610443.6,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$0.1083,1000000000,514183001.4,51.4183%,$108303180,$55687654.1,0,$0,999999999.999923854699263676,$108303180,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$4.66,29732425,24191237.6,81.3632%,$138553100.4,$112731167.3,0,$0,29732424.98660464150696425,$138553100.4,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$1.0253,24095417.2,-584922.9,-2.4275%,$24704143.1,$-599699.8,0,$0,24095417.187882950807245881,$24704143.1,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$5.499,19250000,17087331.2,88.7654%,$105856014.1,$93963468.5,0,$0,19250000,$105856014.1,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$0.877,9120830.7,3989289.8,43.7382%,$7999184.1,$3498701.4,0,$0,9120830.716997,$7999184.1,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
FIS,$0.3268,500000,472698.4,94.5397%,$163418,$154494.9,0,$0,500000,$163418,0xF4bafAEAE73a4A7C8b6479970075e91e641fB1FC,true
SPARTA,$0.0138,2506320.5,1741170.3,69.4712%,$34653,$24073.8,0,$0,2506320.460035752891733912,$34653,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,5276757.5,5276757.5,100%,$0,$0,0,$0,5276757.49940258,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
BAKE,$0.2298,288188466.6,206047190.8,71.4974%,$66227603,$47350998.2,0,$0,288188466.618409127452445428,$66227603,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,true
ANY,$12.3279,4012889.2,4011658,99.9693%,$49470588.4,$49455410.7,0,$0,4012889.168976773749047689,$49470588.4,0xF68C9Df95a18B2A5a5fa1124d79EEEffBaD0B6Fa,true
RAVEN,$0.0003,1161507978.8,1161507978.8,100%,$393298.2,$393298.2,0,$0,1161507978.83806293,$393298.2,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,true
STM,$0,99000000,99000000,100%,$0,$0,0,$0,99000000,$0,0x90DF11a8ccE420675e73922419e3f4f3Fe13CCCb,true
CAN,$0.0093,12865217.7,3829535,29.7666%,$120009.1,$35722.6,0,$0,12865217.654789954474398525,$120009.1,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,true
STAX,$0.2197,22140603.6,22140603.6,100%,$4863648.5,$4863648.5,0,$0,22140603.596471713570608714,$4863648.5,0x0Da6Ed8B13214Ff28e9Ca979Dd37439e8a88F6c4,true
FRIES,$0,42608.9,38942.1,91.3941%,$0,$0,0,$0,42608.938985812739128773,$0,0x393B312C01048b3ed2720bF1B090084C09e408A1,true
FREE,$0,9996816234187.7,9996816199360.7,100%,$0,$0,0,$0,9996816234187.727183936416851119,$0,0x12e34cDf6A031a10FE241864c32fB03a4FDaD739,true
PROPEL,$0,7789346464.5,7789346164.5,100%,$206651.4,$206651.4,0,$0,7789346464.509856684829090569,$206651.4,0x9B44Df3318972bE845d83f961735609137C4C23c,true
CBIX,$0.0006,12431147.1,12141275.1,97.6682%,$7196.9,$7029.1,0,$0,12431147.110732948759277399,$7196.9,0x34681C1035F97E1eDcccec5f142e02FF81a3A230,true
INNBC,$0,85159940324.9,43323354103.9,50.8729%,$820.8,$417.6,0,$0,85159940324.904136,$820.8,0xdF1F0026374d4BCc490BE5E316963Cf6Df2FfF19,true
FOR,$0.0185,305000000,35504100.2,11.6407%,$5644153.1,$657018.3,0,$0,304999999.99999963055914463,$5644153.1,0x658A109C5900BC6d2357c87549B651670E5b0539,true
MILK,$0,11867.4,11867.4,100%,$0,$0,0,$0,11867.402930372559864313,$0,0x8E9f5173e16Ff93F81579d73A7f9723324d6B6aF,true
