Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$2.4086,214353011.8,88045768.1,41.0751%,$516292606.2,$212067834.7,71015776.2,$171049242,285368788,$687341848.2,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,true
TWT-8C2,$1.2202,194562762.2,132785579.2,68.2482%,$237412916.7,$162030037.4,805437220.8,$982825272.6,999999982.99909999,$1220238189.3,0x4B0F1812e5Df2A09796481Ff14017e6005508003,true
ANKR-E97,$0.1236,9058289321.9,234837320.8,2.5925%,$1119243949.7,$29016544,941710678.1,$116357950.3,10000000000,$1235601900,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$305.1598,599865.5,168875.5,28.1522%,$183054861.6,$51534015.9,134.5,$41040.1,600000,$183095901.7,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,false
Cake,$18.79,238416841.9,238361726.8,99.9769%,$4479852458.7,$4478816846.4,0,$0,238416841.867057429076138582,$4479852458.7,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$1.1414,1000000000,884326168.4,88.4326%,$1141433490,$1009399504.7,0,$0,1000000000,$1141433490,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$26.4739,29954629.3,28363381.7,94.6878%,$793017217.8,$750890615.4,0,$0,29954629.275830639953400642,$793017217.8,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$4.3424,17043244.6,9358296.2,54.9091%,$74009297.5,$40637856.6,0,$0,17043244.625409316675190406,$74009297.5,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$18.8577,19250000,17108987.8,88.8779%,$363011132,$322636520.8,0,$0,19250000,$363011132,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$2.1129,9104525.6,7391281,81.1825%,$19236506.5,$15616676,0,$0,9104525.555195,$19236506.5,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
FIS,$1.7836,500000,428596.9,85.7194%,$891795.6,$764441.6,0,$0,500000,$891795.6,0xF4bafAEAE73a4A7C8b6479970075e91e641fB1FC,true
SPARTA,$0.3951,2908763.7,2899110.8,99.6681%,$1149363.1,$1145548.9,0,$0,2908763.713957942082665398,$1149363.1,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
