Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$1.3148,214450859.1,110568773.7,51.559%,$281966056.3,$145378951.7,70917928.9,$93244899.2,285368788,$375210955.5,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,true
TWT-8C2,$1.07,209362274.5,165134535.4,78.875%,$224012466.6,$176689877.4,790412672.8,$845722052.5,999774947.21909998983250182,$1069734519.1,0x4B0F1812e5Df2A09796481Ff14017e6005508003,true
ANKR-E97,$0.0782,9058823783.2,236855533.4,2.6146%,$708829136.3,$18533322.6,941176216.8,$73644563.7,10000000000,$782473700,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$162.7377,599831.9,292271.4,48.7255%,$97615287.9,$47563579.6,168.1,$27350.6,600000,$97642638.5,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,false
Cake,$8.48,283403498,274909876.2,97.003%,$2403261662.9,$2331235749.9,0,$0,283403497.984029955675823879,$2403261662.9,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$0.4081,1000000000,534065156.1,53.4065%,$408076630,$217939509.1,0,$0,999999999.999923854699263676,$408076630,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$11.2774,29800918.6,25765472.9,86.4587%,$336076550,$290567259.7,0,$0,29800918.585915453831677812,$336076550,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$1.4935,20598235.5,11425894.2,55.4703%,$30764354.6,$17065066.6,0,$0,20598235.51886889469514132,$30764354.6,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$9.2661,19250000,17176057.9,89.2263%,$178371797.9,$159154510.9,0,$0,19250000,$178371797.9,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$1.324,9123989.5,6766001,74.1562%,$12080422.9,$8958378.7,0,$0,9123989.510856,$12080422.9,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
FIS,$0.6962,500000,484721.5,96.9443%,$348109.4,$337472.3,0,$0,500000,$348109.4,0xF4bafAEAE73a4A7C8b6479970075e91e641fB1FC,true
SPARTA,$0.1441,2544667.6,2463548,96.8122%,$366729.9,$355039.2,0,$0,2544667.647582195058880295,$366729.9,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,82867702.8,82867702.8,100%,$0,$0,0,$0,82867702.82328852,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
BAKE,$0.8976,288956781.4,243280660.1,84.1927%,$259366260.4,$218367586.8,0,$0,288956781.395508647244721523,$259366260.4,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,true
ANY,$12.3279,3887719.4,3887709.3,99.9997%,$47927505,$47927381.1,0,$0,3887719.382635838914822907,$47927505,0xF68C9Df95a18B2A5a5fa1124d79EEEffBaD0B6Fa,true
RAVEN,$0.0006,350774231.7,350774231.7,100%,$222766.2,$222766.2,0,$0,350774231.70634087,$222766.2,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,true
STM,$0,99000000,99000000,100%,$0,$0,0,$0,99000000,$0,0x90DF11a8ccE420675e73922419e3f4f3Fe13CCCb,true
CAN,$0.0193,12540991.9,3505309.2,27.9508%,$242396.1,$67751.7,0,$0,12540991.892191454474398525,$242396.1,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,true
STAX,$1.055,22140603.6,22140603.6,100%,$23358336.8,$23358336.8,0,$0,22140603.596471713570608714,$23358336.8,0x0Da6Ed8B13214Ff28e9Ca979Dd37439e8a88F6c4,true
FRIES,$0,40532.9,39197.7,96.7059%,$0,$0,0,$0,40532.877379009906756524,$0,0x393B312C01048b3ed2720bF1B090084C09e408A1,true
FREE,$0,9996816234187.7,9996816199360.7,100%,$0,$0,0,$0,9996816234187.727183936416851119,$0,0x12e34cDf6A031a10FE241864c32fB03a4FDaD739,true
PROPEL,$0.0001,7789319016.1,7789318716.1,100%,$913998.7,$913998.7,0,$0,7789319016.144385284829090569,$913998.7,0x9B44Df3318972bE845d83f961735609137C4C23c,true
CBIX,$0.0008,11242811.5,11242811.5,100%,$8526.4,$8526.4,0,$0,11242811.548608538759277399,$8526.4,0x34681C1035F97E1eDcccec5f142e02FF81a3A230,true
INNBC,$0,9159940324.9,7201974935.7,78.6247%,$642.2,$504.9,0,$0,9159940324.904136,$642.2,0xdF1F0026374d4BCc490BE5E316963Cf6Df2FfF19,true
FOR,$0.0439,305000000,63575057.1,20.8443%,$13375470,$2788020.6,0,$0,304999999.99999963055914463,$13375470,0x658A109C5900BC6d2357c87549B651670E5b0539,true
MILK,$0,11867.4,11867.4,100%,$0,$0,0,$0,11867.402930372559864313,$0,0x8E9f5173e16Ff93F81579d73A7f9723324d6B6aF,true
KOGE,$72.87,3442202.7,3442202.7,100%,$250833310.3,$250833310.3,0,$0,3442202.693371149219150452,$250833310.3,0xe6DF05CE8C8301223373CF5B969AFCb1498c5528,true
KHP,$0,4179.4,4179.4,100%,$0,$0,0,$0,4179.368423330832573257,$0,0x15B3d410fCd0d695E1bbe4F717F8E1B6D0Fb2D0C,true
BHC,$89.02,50000,50000,100%,$4451000,$4451000,0,$0,49999.999904265836921401,$4451000,0x6fd7c98458a943f469E1Cf4eA85B173f5Cd342F4,true
DOS,$0.0095,12323291.1,12323291.1,100%,$117182.9,$117182.9,0,$0,12323291.13817542,$117182.9,0xDc0f0a5719c39764b011eDd02811BD228296887C,true
crADA,$0,82867702.8,82867702.8,100%,$0,$0,0,$0,82867702.82328852,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
PSG,$14.2878,2000000,1408688.8,70.4344%,$28575688.1,$20127125.8,0,$0,2000000,$28575688.1,0xBc5609612b7C44BEf426De600B5fd1379DB2EcF1,true
JUV,$6.0886,2000000,1800888,90.0444%,$12177237,$10964920.3,0,$0,2000000,$12177237,0xC40C9A843E1c6D01b7578284a9028854f6683b1B,true
OG,$3.9156,2000000,745027.7,37.2514%,$7831164.5,$2917217.1,0,$0,2000000,$7831164.5,0xf05E45aD22150677a017Fbd94b84fBB63dc9b44c,true
ASR,$3.7159,2000000,862591.8,43.1296%,$7431866.6,$3205333.5,0,$0,2000000,$7431866.6,0x80D5f92C2c8C682070C95495313dDB680B267320,true
ATM,$6.2035,2000000,1059754.5,52.9877%,$12406950.6,$6574160.9,0,$0,2000000,$12406950.6,0x25E9d05365c867E59C1904E7463Af9F312296f9E,true
BTCST,$16.6725,14999889.1,10986747.1,73.2455%,$250085095.3,$183176133.8,0,$0,14999889.1043007,$250085095.3,0x78650B139471520656b9E7aA7A5e9276814a38e9,true
BDO,$0.0103,26483375.6,26483375.6,100%,$274068,$274068,0,$0,26483375.589867311583324386,$274068,0x190b589cf9Fb8DDEabBFeae36a813FFb2A702454,true
sBDO,$0,100001,100001,100%,$0,$0,0,$0,100000.999999999974848,$0,0x0d9319565be7f53CeFE84Ad201Be3f40feAE2740,true
DITTO,$0.9474,66624.2,66624.2,100%,$63117.6,$63117.6,0,$0,66624.197029067,$63117.6,0x233d91A0713155003fc4DcE0AFa871b508B3B715,true
UST,$1.0002,40102864.6,29758846.9,74.2063%,$40110868.3,$29764786.1,0,$0,40102864.553612292375580404,$40110868.3,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,true
LUNA,$95.6107,8061.9,8061.9,100%,$770807.3,$770807.3,0,$0,8061.939407214109716258,$770807.3,0xECCF35F941Ab67FfcAA9A1265C2fF88865caA005,true
UST,$1.0002,40102864.6,29758846.9,74.2063%,$40110868.3,$29764786.1,0,$0,40102864.553612292375580404,$40110868.3,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,true
KRT,$0,48554.2,48554.2,100%,$0,$0,0,$0,48554.206739,$0,0xfFBDB9BDCae97a962535479BB96cC2778D65F4dd,true
SDT,$0,1.6,1.6,100%,$0,$0,0,$0,1.596407,$0,0x7d5f9F8CF59986743f34BC137Fc197E2e22b7B05,true
MNT,$0,0.1,0.1,100%,$0,$0,0,$0,0.118782,$0,0x41D74991509318517226755E508695c4D1CE43a6,true
MIR,$1.7842,20102343.1,5313959.4,26.4345%,$35867116.5,$9481302.8,0,$0,20102343.139930934462224622,$35867116.5,0x5B6DcF557E2aBE2323c48445E8CC948910d8c2c9,true
mAAPL,$0,1.6,1.6,100%,$0,$0,0,$0,1.563023,$0,0x900AEb8c40b26A8f8DfAF283F884b03EE7Abb3Ec,true
mGOOGL,$0,33.3,33.3,100%,$0,$0,0,$0,33.30224752509370328,$0,0x62D71B23bF15218C7d2D7E48DBbD9e9c650B173f,true
mTSLA,$0,118,118,100%,$0,$0,0,$0,118.014862170406115734,$0,0xF215A127A196e3988C09d052e16BcFD365Cd7AA3,true
mNFLX,$0,81.7,81.7,100%,$0,$0,0,$0,81.711041653213050012,$0,0xa04F060077D90Fe2647B61e4dA4aD1F97d6649dc,true
mQQQ,$0,0.7,0.7,100%,$0,$0,0,$0,0.717325,$0,0x1Cb4183Ac708e07511Ac57a2E45A835F048D7C56,true
mTWTR,$0,0.2,0.2,100%,$0,$0,0,$0,0.171732,$0,0x7426Ab52A0e057691E2544fae9C8222e958b2cfB,true
mMSFT,$0,0,0,100%,$0,$0,0,$0,0.032697,$0,0x0ab06caa3Ca5d6299925EfaA752A2D2154ECE929,true
