Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$2.1409,214367936.4,98482354.9,45.9408%,$458948319.6,$210844551,71000851.6,$152008374.3,285368788,$610956693.9,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,true
TWT-8C2,$1.0039,193728825.5,121176483.9,62.5495%,$194484263.3,$121649006.7,806271157.5,$809415179.6,999999982.99909999,$1003899442.9,0x4B0F1812e5Df2A09796481Ff14017e6005508003,true
ANKR-E97,$0.0801,9059321974.4,226340614.6,2.4984%,$725535640.2,$18126983.8,940678025.6,$75336259.8,10000000000,$800871900,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$223.945,599874.9,76639.3,12.7759%,$134338974.7,$17162978.8,125.1,$28004.7,600000,$134366979.4,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,false
Cake,$19.1,225549054.7,223302398.8,99.0039%,$4307986944.1,$4265075817.7,0,$0,225549054.663837566497454392,$4307986944.1,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$0.8815,1000000000,876297672.9,87.6298%,$881459320,$772420750.8,0,$0,1000000000,$881459320,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$21.784,29956424.6,26996609.7,90.1196%,$652572192.6,$588095443.4,0,$0,29956424.614124799953400642,$652572192.6,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$3.3592,17046327.4,8633143.9,50.6452%,$57262774.7,$29000837.7,0,$0,17046327.395179206109610733,$57262774.7,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$16.5846,19250000,16935621,87.9773%,$319253122.2,$280870123.7,0,$0,19250000,$319253122.2,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$1.5474,9071829,5940966.2,65.4881%,$14038012.1,$9193223.8,0,$0,9071829.033004,$14038012.1,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
FIS,$1.3916,500000,344806.4,68.9613%,$695806.4,$479837,0,$0,500000,$695806.4,0xF4bafAEAE73a4A7C8b6479970075e91e641fB1FC,true
SPARTA,$0.4894,3084742.6,3066973.3,99.424%,$1509645.3,$1500949.1,0,$0,3084742.599715908725844564,$1509645.3,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,166142590.1,166142590.1,100%,$0,$0,0,$0,166142590.11734921,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
BAKE,$1.5643,289167390.1,224787764.5,77.7362%,$452352237.3,$351641477.1,0,$0,289167390.134692960816680566,$452352237.3,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,true
ANY,$5.71,3340503.3,3340503.3,100%,$19074273.8,$19074273.8,0,$0,3340503.299174875130541219,$19074273.8,0xF68C9Df95a18B2A5a5fa1124d79EEEffBaD0B6Fa,true
RAVEN,$0.001,332449228.5,331449249.3,99.6992%,$321375.3,$320408.7,0,$0,332449228.51462894,$321375.3,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,true
STM,$0,99000000,99000000,100%,$0,$0,0,$0,99000000,$0,0x90DF11a8ccE420675e73922419e3f4f3Fe13CCCb,true
CAN,$0.0728,11997360.4,2961677.8,24.6861%,$873263.9,$215574.6,0,$0,11997360.439416364474398525,$873263.9,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,true
STAX,$2.91,22140603.6,22140603.6,100%,$64429156.5,$64429156.5,0,$0,22140603.596471713570608714,$64429156.5,0x0Da6Ed8B13214Ff28e9Ca979Dd37439e8a88F6c4,true
FRIES,$0,40966.1,39442.7,96.2812%,$0,$0,0,$0,40966.093144492943064211,$0,0x393B312C01048b3ed2720bF1B090084C09e408A1,true
FREE,$0,9997069362675.7,9997069327848.7,100%,$11096747,$11096747,0,$0,9997069362675.727183936416851119,$11096747,0x12e34cDf6A031a10FE241864c32fB03a4FDaD739,true
PROPEL,$0.0005,7747581089.5,7747580789.5,100%,$3600455.9,$3600455.7,0,$0,7747581089.47005429,$3600455.9,0x9B44Df3318972bE845d83f961735609137C4C23c,true
CBIX,$0.0041,13106025,13106025,100%,$53431.4,$53431.4,0,$0,13106025.017510448759277399,$53431.4,0x34681C1035F97E1eDcccec5f142e02FF81a3A230,true
INNBC,$0,149942288.6,65632438.1,43.7718%,$101,$44.2,0,$0,149942288.58899,$101,0xdF1F0026374d4BCc490BE5E316963Cf6Df2FfF19,true
FOR,$0.0781,305000000,84381847.6,27.6662%,$23817712.3,$6589451,0,$0,304999999.999999630559144645,$23817712.3,0x658A109C5900BC6d2357c87549B651670E5b0539,true
MILK,$0,11880.2,11880.2,100%,$0,$0,0,$0,11880.191904772024044313,$0,0x8E9f5173e16Ff93F81579d73A7f9723324d6B6aF,true
KOGE,$11.09,3454114.8,3454114.8,100%,$38306132.7,$38306132.7,0,$0,3454114.762019927897803359,$38306132.7,0xe6DF05CE8C8301223373CF5B969AFCb1498c5528,true
KHP,$0,7853.6,7853.6,100%,$0,$0,0,$0,7853.570438470186918575,$0,0x15B3d410fCd0d695E1bbe4F717F8E1B6D0Fb2D0C,true
BHC,$53.58,50000,50000,100%,$2679000,$2679000,0,$0,49999.999904265836921401,$2679000,0x6fd7c98458a943f469E1Cf4eA85B173f5Cd342F4,true
DOS,$0.0294,11984540.4,11984540.4,100%,$352014.1,$352014.1,0,$0,11984540.3670174,$352014.1,0xDc0f0a5719c39764b011eDd02811BD228296887C,true
crADA,$0,166142590.1,166142590.1,100%,$0,$0,0,$0,166142590.11734921,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
PSG,$27.2346,2000000,1395837.6,69.7919%,$54469200.1,$38015078.2,0,$0,2000000,$54469200.1,0xBc5609612b7C44BEf426De600B5fd1379DB2EcF1,true
JUV,$11.8477,2000000,1787471.5,89.3736%,$23695460.9,$21177480.8,0,$0,2000000,$23695460.9,0xC40C9A843E1c6D01b7578284a9028854f6683b1B,true
OG,$8.3567,2000000,440752,22.0376%,$16713482.6,$3683250.2,0,$0,2000000,$16713482.6,0xf05E45aD22150677a017Fbd94b84fBB63dc9b44c,true
ASR,$7.394,2000000,768344.6,38.4172%,$14788018.5,$5681147,0,$0,2000000,$14788018.5,0x80D5f92C2c8C682070C95495313dDB680B267320,true
ATM,$14.4046,2000000,990102.6,49.5051%,$28809286.6,$14262074.9,0,$0,2000000,$28809286.6,0x25E9d05365c867E59C1904E7463Af9F312296f9E,true
BTCST,$14.5224,14999990.6,10180004.1,67.8667%,$217835568.1,$147837891.8,0,$0,14999990.55850715,$217835568.1,0x78650B139471520656b9E7aA7A5e9276814a38e9,true
BDO,$0.0304,32632425.6,32632425.6,100%,$991599.6,$991599.6,0,$0,32632425.615405663013327627,$991599.6,0x190b589cf9Fb8DDEabBFeae36a813FFb2A702454,true
sBDO,$0,96082.1,96082.1,100%,$0,$0,0,$0,96082.063070776237127036,$0,0x0d9319565be7f53CeFE84Ad201Be3f40feAE2740,true
DITTO,$0.9242,2676564.1,2676564.1,100%,$2473771.6,$2473771.6,0,$0,2676564.146626843,$2473771.6,0x233d91A0713155003fc4DcE0AFa871b508B3B715,true
UST,$0,18583586.8,18583586.8,100%,$0,$0,0,$0,18583586.822590498214892594,$0,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,true
LUNA,$35.6707,6166.7,6166.7,100%,$219971,$219971,0,$0,6166.711149999999999997,$219971,0xECCF35F941Ab67FfcAA9A1265C2fF88865caA005,true
UST,$0,18583586.8,18583586.8,100%,$0,$0,0,$0,18583586.822590498214892594,$0,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,true
KRT,$0,46932.9,46932.9,100%,$0,$0,0,$0,46932.896251,$0,0xfFBDB9BDCae97a962535479BB96cC2778D65F4dd,true
SDT,$0,1.6,1.6,100%,$0,$0,0,$0,1.596407,$0,0x7d5f9F8CF59986743f34BC137Fc197E2e22b7B05,true
MNT,$0,0.1,0.1,100%,$0,$0,0,$0,0.118782,$0,0x41D74991509318517226755E508695c4D1CE43a6,true
