Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$2.9066,87523453,69954751.3,79.9269%,$254398240,$203332535.3,202191473,$587695675.7,289714926,$842093915.7,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,false
TWT-8C2,$0.5345,180607829.1,86208795.5,47.7326%,$96534801.6,$46078561.5,819392168.9,$437964737.3,999999998,$534499538.9,0x4B0F1812e5Df2A09796481Ff14017e6005508003,false
ANKR-E97,$0.0646,9057610834.6,214791904.6,2.3714%,$584680010.8,$13865083.8,942389165.4,$60832389.2,10000000000,$645512400,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$130.6503,599930.1,46526.7,7.7553%,$78381052.4,$6078723.8,69.9,$9131.5,600000,$78390183.8,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,false
Cake,$9.4017,133335137.4,118130817,88.5969%,$1253570855,$1110625092.6,0,$0,133335137.358221435348986078,$1253570855,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$1.5918,1000000000,136927108.1,13.6927%,$1591843950,$217966588.6,0,$0,1000000000,$1591843950,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$42.1432,30000000,27010094.9,90.0336%,$1264295991,$1138291824,0,$0,30000000,$1264295991,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$3.6411,11954742.4,5643793.2,47.2097%,$43528961.5,$20549874.8,0,$0,11954742.37972114460258267,$43528961.5,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$0,19250000,18692688.4,97.1049%,$0,$0,0,$0,19250000,$0,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$2.4038,8552036.2,2793997.5,32.6706%,$20557538.9,$6716261.6,0,$0,8552036.19826,$20557538.9,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
SPARTA,$0.9949,63897821.2,34932192.8,54.6688%,$63575073.3,$34755750.3,0,$0,63897821.208535991703479497,$63575073.3,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,191084746.3,191084746.3,100%,$0,$0,0,$0,191084746.33806215,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
