Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$3.5483,87518711.6,67432439,77.0492%,$310545407.2,$239272652.3,202196214.4,$717459211,289714926,$1028004618.2,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,false
TWT-8C2,$0.6217,180874527.9,85496720.9,47.2685%,$112447760.4,$53152397.4,819125470.1,$509241548.3,999999998,$621689308.8,0x4B0F1812e5Df2A09796481Ff14017e6005508003,false
ANKR-E97,$0.0693,9057634013.1,215724641.9,2.3817%,$628003355.3,$14957084.7,942365986.9,$65338144.7,10000000000,$693341500,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$136.2018,599963.8,46273.2,7.7127%,$81716158.3,$6302494,36.2,$4936.5,600000,$81721094.8,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,false
Cake,$9.9704,139396242.7,126446236.8,90.7099%,$1389843144.9,$1260725770.1,0,$0,139396242.729735490193827282,$1389843144.9,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$1.8406,1000000000,139079324.4,13.9079%,$1840587630,$255987684.2,0,$0,1000000000,$1840587630,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$42.1692,30000000,26932029.5,89.7734%,$1265075829.3,$1135701986.7,0,$0,30000000,$1265075829.3,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$5.2318,11973965.2,5741359,47.9487%,$62644872.6,$30037393.6,0,$0,11973965.171016678827898434,$62644872.6,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$0,19250000,18689181.5,97.0867%,$0,$0,0,$0,19250000,$0,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$2.5105,8554696.2,2952894.4,34.5178%,$21476939.2,$7413370.7,0,$0,8554696.19826,$21476939.2,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
SPARTA,$1.36,64022373.7,32354578.6,50.5364%,$87070428.2,$44002226.9,0,$0,64022373.681909463954966226,$87070428.2,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,122613408.7,122613408.7,100%,$0,$0,0,$0,122613408.66612282,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
BAKE,$1.1287,152436941.6,59718068.5,39.1756%,$172052240.3,$67402477.2,0,$0,152436941.599566579246368092,$172052240.3,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,true
ANY,$3.16,2310151,2310151,100%,$7300077,$7300077,0,$0,2310150.959777058506111834,$7300077,0xF68C9Df95a18B2A5a5fa1124d79EEEffBaD0B6Fa,true
RAVEN,$0.0019,354762960.4,353762956.4,99.7181%,$669061.4,$667175.5,0,$0,354762960.38119082,$669061.4,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,true
STM,$0.009,99000000,99000000,100%,$890662.3,$890662.3,0,$0,99000000,$890662.3,0x90DF11a8ccE420675e73922419e3f4f3Fe13CCCb,true
CAN,$0,2128315.4,544834.4,25.5993%,$0,$0,0,$0,2128315.361577994474398525,$0,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,true
STAX,$1.977,16638044.2,16638044.2,100%,$32894240.1,$32894240.1,0,$0,16638044.155825375733729527,$32894240.1,0x0Da6Ed8B13214Ff28e9Ca979Dd37439e8a88F6c4,true
FRIES,$57.8766,34323.2,34025.9,99.1336%,$1986510.1,$1969299.2,0,$0,34323.229503370100118002,$1986510.1,0x393B312C01048b3ed2720bF1B090084C09e408A1,true
FREE,$0,9999996354042,9999996319215,100%,$10504467,$10504466.9,0,$0,9999996354042.013253408015395172,$10504467,0x12e34cDf6A031a10FE241864c32fB03a4FDaD739,true
PROPEL,$0.0011,7226046433.5,7226046133.5,100%,$8242708,$8242707.7,0,$0,7226046433.519776,$8242708,0x9B44Df3318972bE845d83f961735609137C4C23c,true
CBIX,$0.0444,20215978.6,20215978.6,100%,$898525.3,$898525.3,0,$0,20215978.64387636,$898525.3,0x34681C1035F97E1eDcccec5f142e02FF81a3A230,true
