Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$0.3288,284640735.2,284613825.3,99.9905%,$93596010.6,$93587162,728052.8,$239399.4,285368787.999999999990585539,$93835410,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,true
TWT-8C2,$0.9149,220289043,219567359.2,99.6724%,$201538440.5,$200878185.2,779208155.5,$712883375.4,999497198.40759401503596606,$914421816,0x4B0F1812e5Df2A09796481Ff14017e6005508003,true
ANKR-E97,$0.0243,9063561583.5,9034987290.7,99.6847%,$220196147.1,$219501944.3,936438416.5,$22750452.9,9999999999.999999999769317128,$242946600,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$31.0781,299798.6,180517.1,60.2128%,$9317157.2,$5610120.7,201.4,$6258.6,300000,$9323415.8,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,true
Cake,$1.49,390564233.9,343931834.1,88.0602%,$581940708.5,$512458432.8,0,$0,390564233.876342083776736901,$581940708.5,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$0.1028,1000000000,495840628.6,49.5841%,$102800000,$50972416.6,0,$0,999999999.999923854553091634,$102800000,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$4.4305,29732835.9,25237783.4,84.8819%,$131730752.5,$111815509.8,0,$0,29732835.872464962956263574,$131730752.5,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$0.4141,42819986.2,-7702381.9,-17.9878%,$17729643.6,$-3189176.3,0,$0,42819986.220985317111836335,$17729643.6,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$4.1705,19250000,16758642.7,87.0579%,$80281338.3,$69891234.3,0,$0,19250000,$80281338.3,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$0.5572,9136275,4278082.1,46.8252%,$5090297.8,$2383543.8,0,$0,9136274.973991,$5090297.8,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
