Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$0.3682,284632745.3,284606703.6,99.9909%,$104794937.1,$104785349.2,736042.7,$270993.2,285368788,$105065930.3,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,true
TWT-8C2,$0.8319,220193643.1,216902415,98.5053%,$183175894.5,$180437969.6,779310556.3,$648297136.2,999504199.407594015039084711,$831473030.7,0x4B0F1812e5Df2A09796481Ff14017e6005508003,true
ANKR-E97,$0.0236,9063507411.2,9039467834.2,99.7348%,$213867324.5,$213300073.9,936492588.8,$22097975.5,10000000000,$235965300,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$35.177,299798.8,183250.2,61.1244%,$10546024.3,$6446195.2,201.2,$7077.6,300000,$10553102,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,true
Cake,$1.51,389182610.1,347977431.2,89.4124%,$587665741.2,$525445921.2,0,$0,389182610.061433563185402789,$587665741.2,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$0.0981,1000000000,503002879.6,50.3003%,$98115690,$49352474.6,0,$0,999999999.999923854699263676,$98115690,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$4.3001,29732835.9,25094217.6,84.399%,$127855507,$107908775.7,0,$0,29732835.874899085717972695,$127855507,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$0.3922,38794772.4,-7250156.9,-18.6885%,$15217121.1,$-2843850,0,$0,38794772.442547347474874403,$15217121.1,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$3.92,19250000,16791098.6,87.2265%,$75460000,$65821106.7,0,$0,19250000,$75460000,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$0.5681,9136275,4307664.9,47.149%,$5190469.4,$2447255.9,0,$0,9136274.973991,$5190469.4,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
FIS,$0.3086,873618.7,543901.1,62.2584%,$269631.3,$167868.1,0,$0,873618.715726,$269631.3,0xF4bafAEAE73a4A7C8b6479970075e91e641fB1FC,true
SPARTA,$0.0066,1741574.2,1741572.2,99.9999%,$11535.2,$11535.2,0,$0,1741574.175107835095253529,$11535.2,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,1547146,1547146,100%,$0,$0,0,$0,1547146.0382459,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
BAKE,$0.1015,288211373.2,95091712.3,32.9937%,$29266885,$9656240.1,0,$0,288211373.195494824754677018,$29266885,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,true
ANY,$12.3279,4125491.9,4124290.7,99.9709%,$50858746.6,$50843938.1,0,$0,4125491.931152096512001751,$50858746.6,0xF68C9Df95a18B2A5a5fa1124d79EEEffBaD0B6Fa,true
RAVEN,$0.0004,1625419653.3,1625419653.3,100%,$580567.4,$580567.4,0,$0,1625419653.299617576787248039,$580567.4,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,true
STM,$0,99000000,99000000,100%,$0,$0,0,$0,99000000,$0,0x90DF11a8ccE420675e73922419e3f4f3Fe13CCCb,true
CAN,$0.0047,13208620.8,4172938.1,31.5925%,$61737.9,$19504.6,0,$0,13208620.755410604474398525,$61737.9,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,true
STAX,$0.1561,22140603.6,22140603.6,100%,$3455461.9,$3455461.9,0,$0,22140603.596471713570608714,$3455461.9,0x0Da6Ed8B13214Ff28e9Ca979Dd37439e8a88F6c4,true
FRIES,$0,42273.2,38606.3,91.3258%,$0,$0,0,$0,42273.224723333914987717,$0,0x393B312C01048b3ed2720bF1B090084C09e408A1,true
FREE,$0,9996771210319.6,9996770598787.6,100%,$0,$0,0,$0,9996771210319.649932190139088271,$0,0x12e34cDf6A031a10FE241864c32fB03a4FDaD739,true
PROPEL,$0,7789351724.8,7789348734.8,100%,$22433.3,$22433.3,0,$0,7789351724.796580654829090569,$22433.3,0x9B44Df3318972bE845d83f961735609137C4C23c,true
CBIX,$0.0006,14251085.3,13961213.3,97.966%,$8250.5,$8082.7,0,$0,14251085.257891778759277399,$8250.5,0x34681C1035F97E1eDcccec5f142e02FF81a3A230,true
INNBC,$0,746159940324.9,722579841340.2,96.8398%,$7197.5,$6970,0,$0,746159940324.904136,$7197.5,0xdF1F0026374d4BCc490BE5E316963Cf6Df2FfF19,true
FOR,$0.0197,305000000,65641383.8,21.5218%,$6014484.1,$1294423.1,0,$0,304999999.99999963055914463,$6014484.1,0x658A109C5900BC6d2357c87549B651670E5b0539,true
MILK,$0,11867.4,11867.4,100%,$0,$0,0,$0,11867.401828440605909458,$0,0x8E9f5173e16Ff93F81579d73A7f9723324d6B6aF,true
KOGE,$10.07,3388229.1,3388229.1,100%,$34119466.9,$34119466.9,0,$0,3388229.083220782481176268,$34119466.9,0xe6DF05CE8C8301223373CF5B969AFCb1498c5528,true
KHP,$0,4186.5,4186.5,100%,$0,$0,0,$0,4186.518650743471338917,$0,0x15B3d410fCd0d695E1bbe4F717F8E1B6D0Fb2D0C,true
BHC,$8.43,50000,50000,100%,$421500,$421500,0,$0,49999.999904265836921401,$421500,0x6fd7c98458a943f469E1Cf4eA85B173f5Cd342F4,true
DOS,$0.0007,13600074.6,13014824.5,95.6967%,$9998.9,$9568.6,0,$0,13600074.56350642,$9998.9,0xDc0f0a5719c39764b011eDd02811BD228296887C,true
crADA,$0,1547146,1547146,100%,$0,$0,0,$0,1547146.0382459,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
PSG,$3.4447,2000000,1403343.6,70.1672%,$6889306,$4834031.6,0,$0,2000000,$6889306,0xBc5609612b7C44BEf426De600B5fd1379DB2EcF1,true
JUV,$2.2225,2000000,1831254.8,91.5627%,$4444936.6,$4069905.6,0,$0,2000000,$4444936.6,0xC40C9A843E1c6D01b7578284a9028854f6683b1B,true
OG,$4.1131,2000000,638813.4,31.9407%,$8226130.4,$2627481.2,0,$0,2000000,$8226130.4,0xf05E45aD22150677a017Fbd94b84fBB63dc9b44c,true
ASR,$2.5198,2000000,843729.2,42.1865%,$5039606.9,$2126031.7,0,$0,2000000,$5039606.9,0x80D5f92C2c8C682070C95495313dDB680B267320,true
ATM,$2.5387,2000000,932573.9,46.6287%,$5077342.6,$2367498.7,0,$0,2000000,$5077342.6,0x25E9d05365c867E59C1904E7463Af9F312296f9E,true
BTCST,$5.3483,14998491.2,12074111.3,80.5022%,$80215989.1,$64575614.1,0,$0,14998491.20156929,$80215989.1,0x78650B139471520656b9E7aA7A5e9276814a38e9,true
BDO,$0.0205,26388884.9,26388884.9,100%,$540411.6,$540411.6,0,$0,26388884.893571042047902177,$540411.6,0x190b589cf9Fb8DDEabBFeae36a813FFb2A702454,true
sBDO,$0,100001,100001,100%,$0,$0,0,$0,100000.999999999974848,$0,0x0d9319565be7f53CeFE84Ad201Be3f40feAE2740,true
DITTO,$0.2368,7955.1,7955.1,100%,$1883.6,$1883.6,0,$0,7955.119181324,$1883.6,0x233d91A0713155003fc4DcE0AFa871b508B3B715,true
UST,$0.2478,89118716.7,87435766.8,98.1116%,$22081290.2,$21664299.2,0,$0,89118716.679193634678684518,$22081290.2,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,true
