Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$1.4539,214374554.9,101156326.9,47.1867%,$311678816,$147071018.8,70994233.1,$103218399.7,285368788,$414897215.7,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,true
TWT-8C2,$0.5675,196365403.2,129990971.9,66.1985%,$111442112.5,$73773018.5,803591579.5,$456057644.2,999956982.70909998983250182,$567499756.6,0x4B0F1812e5Df2A09796481Ff14017e6005508003,true
ANKR-E97,$0.073,9059535043.1,238573299.4,2.6334%,$661070014.1,$17408581.5,940464956.9,$68625285.9,10000000000,$729695300,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$140.4129,599833.6,278062.5,46.3566%,$84224391.6,$39043573.8,166.4,$23365.6,600000,$84247757.2,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,false
Cake,$8.96,260479603.2,247224486.8,94.9113%,$2333897244.8,$2215131402,0,$0,260479603.214056842291988599,$2333897244.8,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$0.4329,1000000000,893880576.6,89.3881%,$432877620,$386940896.6,0,$0,1000000000,$432877620,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$10.0316,29800907.6,26568896.3,89.1547%,$298952259.4,$266529855.3,0,$0,29800907.553794723831677812,$298952259.4,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$1.8289,17751167.1,9338479.1,52.6077%,$32465794.7,$17079504.9,0,$0,17751167.109631423751471779,$32465794.7,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$9.7379,19250000,17137582.9,89.0264%,$187454127.7,$166883670.4,0,$0,19250000,$187454127.7,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$1.3103,9069834,6567202.5,72.4071%,$11883879.6,$8604770.9,0,$0,9069834.046724,$11883879.6,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
FIS,$0.7379,500000,429411.9,85.8824%,$368948.4,$316861.7,0,$0,500000,$368948.4,0xF4bafAEAE73a4A7C8b6479970075e91e641fB1FC,true
SPARTA,$0.1471,2558684.7,2477522,96.828%,$376374.8,$364436.1,0,$0,2558684.687754881839428483,$376374.8,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,87707026.8,87707026.8,100%,$0,$0,0,$0,87707026.79739549,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
BAKE,$0.6981,289138617.9,243229127.3,84.122%,$201837043.3,$169789315.1,0,$0,289138617.913745656892297636,$201837043.3,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,true
ANY,$21.5579,3696138.8,1962252.2,53.0892%,$79680896.6,$42301987.4,0,$0,3696138.798111901091294772,$79680896.6,0xF68C9Df95a18B2A5a5fa1124d79EEEffBaD0B6Fa,true
RAVEN,$0.0006,353770031.6,353770031.6,100%,$202296.3,$202296.3,0,$0,353770031.63060439,$202296.3,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,true
STM,$0,99000000,99000000,100%,$0,$0,0,$0,99000000,$0,0x90DF11a8ccE420675e73922419e3f4f3Fe13CCCb,true
CAN,$0.0184,12106165.6,3070482.9,25.363%,$222370,$56399.6,0,$0,12106165.617680714474398525,$222370,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,true
STAX,$1.55,22140603.6,22140603.6,100%,$34317935.6,$34317935.6,0,$0,22140603.596471713570608714,$34317935.6,0x0Da6Ed8B13214Ff28e9Ca979Dd37439e8a88F6c4,true
FRIES,$0,40660,39324.4,96.7151%,$0,$0,0,$0,40660.014498020446330838,$0,0x393B312C01048b3ed2720bF1B090084C09e408A1,true
FREE,$0,9996816234187.7,9996816199360.7,100%,$0,$0,0,$0,9996816234187.727183936416851119,$0,0x12e34cDf6A031a10FE241864c32fB03a4FDaD739,true
PROPEL,$0.0002,7790926460.8,7790926160.8,100%,$1699123.2,$1699123.1,0,$0,7790926460.846049774829090569,$1699123.2,0x9B44Df3318972bE845d83f961735609137C4C23c,true
CBIX,$0.0017,11404549.2,11404549.2,100%,$19207.7,$19207.7,0,$0,11404549.225558728759277399,$19207.7,0x34681C1035F97E1eDcccec5f142e02FF81a3A230,true
INNBC,$0,3159942288.6,3119655822.2,98.7251%,$668.5,$660,0,$0,3159942288.58899,$668.5,0xdF1F0026374d4BCc490BE5E316963Cf6Df2FfF19,true
FOR,$0.0483,305000000,75347045.6,24.7039%,$14727705.8,$3638325,0,$0,304999999.99999963055914463,$14727705.8,0x658A109C5900BC6d2357c87549B651670E5b0539,true
MILK,$0,11867.4,11867.4,100%,$0,$0,0,$0,11867.402930372559864313,$0,0x8E9f5173e16Ff93F81579d73A7f9723324d6B6aF,true
KOGE,$61.85,3443448.8,3443448.8,100%,$212977308.5,$212977308.5,0,$0,3443448.803075552954799649,$212977308.5,0xe6DF05CE8C8301223373CF5B969AFCb1498c5528,true
KHP,$0,5406,5406,100%,$0,$0,0,$0,5406.045242322980924081,$0,0x15B3d410fCd0d695E1bbe4F717F8E1B6D0Fb2D0C,true
BHC,$50.71,50000,50000,100%,$2535500,$2535500,0,$0,49999.999904265836921401,$2535500,0x6fd7c98458a943f469E1Cf4eA85B173f5Cd342F4,true
DOS,$0.014,12155693.1,12155693.1,100%,$170751.5,$170751.5,0,$0,12155693.13546379,$170751.5,0xDc0f0a5719c39764b011eDd02811BD228296887C,true
crADA,$0,87707026.8,87707026.8,100%,$0,$0,0,$0,87707026.79739549,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
PSG,$13.8171,2000000,1389649.3,69.4825%,$27634105.7,$19200857.8,0,$0,2000000,$27634105.7,0xBc5609612b7C44BEf426De600B5fd1379DB2EcF1,true
JUV,$6.6306,2000000,1793786.2,89.6893%,$13261283.7,$11893954,0,$0,2000000,$13261283.7,0xC40C9A843E1c6D01b7578284a9028854f6683b1B,true
OG,$3.3792,2000000,441281.3,22.0641%,$6758445.8,$1491187.8,0,$0,2000000,$6758445.8,0xf05E45aD22150677a017Fbd94b84fBB63dc9b44c,true
ASR,$3.1606,2000000,856386.6,42.8193%,$6321216.5,$2706702.6,0,$0,2000000,$6321216.5,0x80D5f92C2c8C682070C95495313dDB680B267320,true
ATM,$5.72,2000000,1057778.5,52.8889%,$11440000,$6050492.8,0,$0,2000000,$11440000,0x25E9d05365c867E59C1904E7463Af9F312296f9E,true
BTCST,$16.57,14999888.4,11014967.3,73.4337%,$248547794.7,$182517746,0,$0,14999888.39386071,$248547794.7,0x78650B139471520656b9E7aA7A5e9276814a38e9,true
BDO,$0.0116,26738821.7,26738821.7,100%,$309383.7,$309383.7,0,$0,26738821.712972620656015715,$309383.7,0x190b589cf9Fb8DDEabBFeae36a813FFb2A702454,true
sBDO,$0,100001,100001,100%,$0,$0,0,$0,100000.999999999974848,$0,0x0d9319565be7f53CeFE84Ad201Be3f40feAE2740,true
DITTO,$0.5519,196802.8,196802.8,100%,$108621.4,$108621.4,0,$0,196802.849007544,$108621.4,0x233d91A0713155003fc4DcE0AFa871b508B3B715,true
