Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$1.5817,214372399.3,98077973.7,45.7512%,$339066502.1,$155127038.7,70996388.7,$112292894.3,285368788,$451359396.5,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,true
TWT-8C2,$0.6532,196412005.9,128138033.8,65.2394%,$128297135.4,$83700294.1,803569975.2,$524895234.6,999981981.04909998983250182,$653192369.9,0x4B0F1812e5Df2A09796481Ff14017e6005508003,true
ANKR-E97,$0.0917,9059515528.1,237899156.4,2.626%,$830537880.7,$21809583.6,940484471.9,$86219619.3,10000000000,$916757500,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$208.3025,599829.4,277761.7,46.3068%,$124945973.4,$57858464,170.6,$35528.4,600000,$124981501.8,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,false
Cake,$10.9,257074107.7,245365636.3,95.4455%,$2802107774.3,$2674485436.1,0,$0,257074107.730879958801008156,$2802107774.3,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$0.5415,1000000000,893956883.2,89.3957%,$541477860,$484057860.1,0,$0,1000000000,$541477860,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$13.7167,29801048.8,26735498.6,89.7133%,$408770677.7,$366721585.7,0,$0,29801048.803018033831677812,$408770677.7,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$2.354,17609112.9,9237358.4,52.4578%,$41451851.8,$21744741.8,0,$0,17609112.914359327081181471,$41451851.8,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$11.1346,19250000,17138382.7,89.0306%,$214340155.6,$190828240,0,$0,19250000,$214340155.6,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$1.4071,9117038.9,6609288.2,72.4938%,$12828369.6,$9299773,0,$0,9117038.88468,$12828369.6,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
FIS,$1.006,500000,429041.4,85.8083%,$503005.8,$431620.6,0,$0,500000,$503005.8,0xF4bafAEAE73a4A7C8b6479970075e91e641fB1FC,true
SPARTA,$0.2151,2553522.4,2472381.7,96.8224%,$549324,$531868.7,0,$0,2553522.403800494909537591,$549324,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,268856705.7,268856705.7,100%,$0,$0,0,$0,268856705.66822835,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
BAKE,$0.9203,289138844.1,243192278.8,84.1092%,$266107344.9,$223820676.3,0,$0,289138844.139204776892297636,$266107344.9,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,true
ANY,$17.8406,3721517.7,2001779.9,53.7893%,$66394047,$35712920.8,0,$0,3721517.680211901091294772,$66394047,0xF68C9Df95a18B2A5a5fa1124d79EEEffBaD0B6Fa,true
RAVEN,$0.0008,345211076.8,345211076.8,100%,$275395.6,$275395.6,0,$0,345211076.76368715,$275395.6,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,true
STM,$0,99000000,99000000,100%,$0,$0,0,$0,99000000,$0,0x90DF11a8ccE420675e73922419e3f4f3Fe13CCCb,true
CAN,$0.0225,11996472,2960789.3,24.6805%,$269554.6,$66527.4,0,$0,11996472.009538834474398525,$269554.6,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,true
STAX,$1.55,22140603.6,22140603.6,100%,$34317935.6,$34317935.6,0,$0,22140603.596471713570608714,$34317935.6,0x0Da6Ed8B13214Ff28e9Ca979Dd37439e8a88F6c4,true
FRIES,$0,40696.5,39360.9,96.7181%,$0,$0,0,$0,40696.495486348091575814,$0,0x393B312C01048b3ed2720bF1B090084C09e408A1,true
FREE,$0,9996816234187.7,9996816199360.7,100%,$0,$0,0,$0,9996816234187.727183936416851119,$0,0x12e34cDf6A031a10FE241864c32fB03a4FDaD739,true
PROPEL,$0.0003,7790926460.8,7790926160.8,100%,$2394930.8,$2394930.7,0,$0,7790926460.846049774829090569,$2394930.8,0x9B44Df3318972bE845d83f961735609137C4C23c,true
CBIX,$0.0021,11425949.2,11425949.2,100%,$24132.1,$24132.1,0,$0,11425949.225558728759277399,$24132.1,0x34681C1035F97E1eDcccec5f142e02FF81a3A230,true
INNBC,$0,3159942288.6,3043182415.2,96.305%,$788.4,$759.3,0,$0,3159942288.58899,$788.4,0xdF1F0026374d4BCc490BE5E316963Cf6Df2FfF19,true
FOR,$0.0598,305000000,75213768.1,24.6603%,$18246368.8,$4499600.5,0,$0,304999999.99999963055914463,$18246368.8,0x658A109C5900BC6d2357c87549B651670E5b0539,true
MILK,$0,11867.4,11867.4,100%,$0,$0,0,$0,11867.402930372559864313,$0,0x8E9f5173e16Ff93F81579d73A7f9723324d6B6aF,true
