Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$0.352,214452317.3,114294305.8,53.2959%,$75479244.5,$40227347.3,70916470.7,$24959961.7,285368788,$100439206.2,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,true
TWT-8C2,$0.6204,210665687.1,198527719.8,94.2383%,$130699739.4,$123169186.2,789032547.8,$489526081.7,999698234.92909998983250182,$620225821,0x4B0F1812e5Df2A09796481Ff14017e6005508003,true
ANKR-E97,$0.0258,9058906955.4,238664330.2,2.6346%,$234090489.9,$6167305.9,941093044.6,$24318710.1,10000000000,$258409200,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$51.6056,599829.4,305749.6,50.9728%,$30954548.9,$15778388.9,170.6,$8801.8,600000,$30963350.7,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,false
Cake,$2.87,304096100.7,286040379.2,94.0625%,$872755808.9,$820935888.4,0,$0,304096100.658194435970463697,$872755808.9,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$0.1058,1000000000,517455609.1,51.7456%,$105822940,$54758673.9,0,$0,999999999.999923854699263676,$105822940,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$4.0377,29732303,24497103,82.3922%,$120050679.6,$98912414,0,$0,29732303.04800749150696425,$120050679.6,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$0.6832,20596564.5,2862482.9,13.8979%,$14071311.3,$1955611.9,0,$0,20596564.504042408282439631,$14071311.3,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$2.9829,19250000,17174049.2,89.2158%,$57420341.1,$51228039.8,0,$0,19250000,$57420341.1,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$0.7704,9106650.9,3920282.5,43.0486%,$7015999.8,$3020287.2,0,$0,9106650.929989,$7015999.8,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
FIS,$0.3281,500000,499997.5,99.9995%,$164064.9,$164064.1,0,$0,500000,$164064.9,0xF4bafAEAE73a4A7C8b6479970075e91e641fB1FC,true
SPARTA,$0.0329,2538747.8,2435224.5,95.9223%,$83482.9,$80078.7,0,$0,2538747.774103704878803784,$83482.9,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,75103878.3,75103878.3,100%,$0,$0,0,$0,75103878.31334843,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
BAKE,$0.2216,288581409.7,214184369.8,74.2197%,$63938680.1,$47455121.6,0,$0,288581409.711198007244721523,$63938680.1,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,true
ANY,$12.3279,3996236,3995193.2,99.9739%,$49265290,$49252433.8,0,$0,3996236.044803631487281418,$49265290,0xF68C9Df95a18B2A5a5fa1124d79EEEffBaD0B6Fa,true
RAVEN,$0.0001,350381609.7,350381609.7,100%,$44757.7,$44757.7,0,$0,350381609.73205637,$44757.7,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,true
STM,$0,99000000,99000000,100%,$0,$0,0,$0,99000000,$0,0x90DF11a8ccE420675e73922419e3f4f3Fe13CCCb,true
CAN,$0.0124,12562144.3,3526461.6,28.0721%,$156136,$43830.7,0,$0,12562144.318330244474398525,$156136,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,true
STAX,$1.055,22140603.6,22140603.6,100%,$23358336.8,$23358336.8,0,$0,22140603.596471713570608714,$23358336.8,0x0Da6Ed8B13214Ff28e9Ca979Dd37439e8a88F6c4,true
FRIES,$0,42741,39074.1,91.4207%,$0,$0,0,$0,42741.032443223274700145,$0,0x393B312C01048b3ed2720bF1B090084C09e408A1,true
FREE,$0,9996816234187.7,9996816199360.7,100%,$0,$0,0,$0,9996816234187.727183936416851119,$0,0x12e34cDf6A031a10FE241864c32fB03a4FDaD739,true
PROPEL,$0.0001,7789321091.8,7789320791.8,100%,$395152.3,$395152.2,0,$0,7789321091.756856684829090569,$395152.3,0x9B44Df3318972bE845d83f961735609137C4C23c,true
CBIX,$0.0006,11397531.5,11397531.5,100%,$6849.9,$6849.9,0,$0,11397531.548608538759277399,$6849.9,0x34681C1035F97E1eDcccec5f142e02FF81a3A230,true
INNBC,$0,25159940324.9,14595303845.2,58.0101%,$135.9,$78.8,0,$0,25159940324.904136,$135.9,0xdF1F0026374d4BCc490BE5E316963Cf6Df2FfF19,true
FOR,$0.015,305000000,37232237,12.2073%,$4587602.6,$560022,0,$0,304999999.99999963055914463,$4587602.6,0x658A109C5900BC6d2357c87549B651670E5b0539,true
MILK,$0,11867.4,11867.4,100%,$0,$0,0,$0,11867.402930372559864313,$0,0x8E9f5173e16Ff93F81579d73A7f9723324d6B6aF,true
KOGE,$6.35,3440909.4,3440909.4,100%,$21849774.6,$21849774.6,0,$0,3440909.384701909189944658,$21849774.6,0xe6DF05CE8C8301223373CF5B969AFCb1498c5528,true
KHP,$0,4179.4,4179.4,100%,$0,$0,0,$0,4179.368423330832573257,$0,0x15B3d410fCd0d695E1bbe4F717F8E1B6D0Fb2D0C,true
BHC,$31.95,50000,50000,100%,$1597500,$1597500,0,$0,49999.999904265836921401,$1597500,0x6fd7c98458a943f469E1Cf4eA85B173f5Cd342F4,true
DOS,$0.0019,12867797.9,12282547.9,95.4518%,$24727.7,$23603,0,$0,12867797.91257642,$24727.7,0xDc0f0a5719c39764b011eDd02811BD228296887C,true
crADA,$0,75103878.3,75103878.3,100%,$0,$0,0,$0,75103878.31334843,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
PSG,$6.0885,2000000,1413386.6,70.6693%,$12176970.1,$8605383,0,$0,2000000,$12176970.1,0xBc5609612b7C44BEf426De600B5fd1379DB2EcF1,true
JUV,$3.5541,2000000,1660196.4,83.0098%,$7108229,$5900528.2,0,$0,2000000,$7108229,0xC40C9A843E1c6D01b7578284a9028854f6683b1B,true
OG,$2.9102,2000000,735049.5,36.7525%,$5820485.9,$2139172.7,0,$0,2000000,$5820485.9,0xf05E45aD22150677a017Fbd94b84fBB63dc9b44c,true
ASR,$3.1094,2000000,884292.6,44.2146%,$6218806.4,$2749622.3,0,$0,2000000,$6218806.4,0x80D5f92C2c8C682070C95495313dDB680B267320,true
ATM,$3.11,2000000,972889.2,48.6445%,$6220000,$3025685.4,0,$0,2000000,$6220000,0x25E9d05365c867E59C1904E7463Af9F312296f9E,true
BTCST,$5.2066,14999888.1,10131349.7,67.5428%,$78098765.7,$52750120.5,0,$0,14999888.12353508,$78098765.7,0x78650B139471520656b9E7aA7A5e9276814a38e9,true
BDO,$0.0437,26475805.6,26475805.6,100%,$1156501,$1156501,0,$0,26475805.5882747186790938,$1156501,0x190b589cf9Fb8DDEabBFeae36a813FFb2A702454,true
sBDO,$0,100001,100001,100%,$0,$0,0,$0,100000.999999999974848,$0,0x0d9319565be7f53CeFE84Ad201Be3f40feAE2740,true
DITTO,$0.9572,33840.8,33840.8,100%,$32391.1,$32391.1,0,$0,33840.772436699,$32391.1,0x233d91A0713155003fc4DcE0AFa871b508B3B715,true
UST,$0.2573,141238681,108135035.4,76.5619%,$36346408.8,$27827505.7,0,$0,141238681.034365955787960591,$36346408.8,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,true
LUNA,$2.251,103020965.7,103020965.7,100%,$231896517,$231896517,0,$0,103020965.713527213909716056,$231896517,0xECCF35F941Ab67FfcAA9A1265C2fF88865caA005,true
UST,$0.2573,141238681,108135035.4,76.5619%,$36346408.8,$27827505.7,0,$0,141238681.034365955787960591,$36346408.8,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,true
