Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$0.3988,214454419.9,115270692.8,53.7507%,$85517296.3,$45966121.9,70914368.1,$28278293.5,285368788,$113795589.8,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,true
TWT-8C2,$0.6876,210744751.1,197697081,93.8088%,$144913115,$135941226,788942282.1,$542495521.6,999687033.19909998983250182,$687408636.6,0x4B0F1812e5Df2A09796481Ff14017e6005508003,true
ANKR-E97,$0.0272,9059354049.9,238449305.9,2.6321%,$246138029.3,$6478546,940645950.1,$25556870.7,10000000000,$271694900,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$49.0446,599829.4,276776.9,46.1426%,$29418388,$13574409.4,170.6,$8365,600000,$29426753,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,false
Cake,$3.04,307429508.9,287044537.6,93.3692%,$934585707.1,$872615394.4,0,$0,307429508.908940624261564877,$934585707.1,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$0.1128,1000000000,517492263.8,51.7492%,$112810660,$58378643.8,0,$0,999999999.999923854699263676,$112810660,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$4.6573,29732303,23968037.6,80.6128%,$138471407.9,$111625658.9,0,$0,29732303.04800749150696425,$138471407.9,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$0.607,20596559,901482.8,4.3769%,$12502964.6,$547237.4,0,$0,20596558.951821843099868858,$12502964.6,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$6.826,19250000,17133306.3,89.0042%,$131400047.6,$116951545.8,0,$0,19250000,$131400047.6,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$0.778,9107854.8,3924384.8,43.0879%,$7085670.1,$3053067.5,0,$0,9107854.848474,$7085670.1,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
FIS,$0.3106,500000,475417.4,95.0835%,$155321.1,$147684.7,0,$0,500000,$155321.1,0xF4bafAEAE73a4A7C8b6479970075e91e641fB1FC,true
SPARTA,$0.0328,2538402.2,1772918.1,69.8439%,$83315.9,$58191,0,$0,2538402.166629371324760548,$83315.9,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,75121650.8,75121650.8,100%,$0,$0,0,$0,75121650.78752683,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
BAKE,$0.234,288432350.6,211238736.3,73.2368%,$67486054.4,$49424653,0,$0,288432350.578098007244721523,$67486054.4,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,true
ANY,$12.3279,3995344.4,3994151.3,99.9701%,$49254297.7,$49239589.3,0,$0,3995344.386528411953103192,$49254297.7,0xF68C9Df95a18B2A5a5fa1124d79EEEffBaD0B6Fa,true
RAVEN,$0.0002,350701186.4,350701186.4,100%,$69158.3,$69158.3,0,$0,350701186.43488321,$69158.3,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,true
STM,$0,99000000,99000000,100%,$0,$0,0,$0,99000000,$0,0x90DF11a8ccE420675e73922419e3f4f3Fe13CCCb,true
CAN,$0.0087,12562144.3,3526461.6,28.0721%,$109038.2,$30609.3,0,$0,12562144.318330244474398525,$109038.2,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,true
STAX,$1.055,22140603.6,22140603.6,100%,$23358336.8,$23358336.8,0,$0,22140603.596471713570608714,$23358336.8,0x0Da6Ed8B13214Ff28e9Ca979Dd37439e8a88F6c4,true
FRIES,$0,42720.1,39053.2,91.4165%,$0,$0,0,$0,42720.10170252851938031,$0,0x393B312C01048b3ed2720bF1B090084C09e408A1,true
FREE,$0,9996816234187.7,9996816199360.7,100%,$0,$0,0,$0,9996816234187.727183936416851119,$0,0x12e34cDf6A031a10FE241864c32fB03a4FDaD739,true
PROPEL,$0.0001,7789321091.8,7789320791.8,100%,$392581.8,$392581.8,0,$0,7789321091.756856684829090569,$392581.8,0x9B44Df3318972bE845d83f961735609137C4C23c,true
CBIX,$0.0005,11398532,11398532,100%,$5529.1,$5529.1,0,$0,11398531.983430188759277399,$5529.1,0x34681C1035F97E1eDcccec5f142e02FF81a3A230,true
INNBC,$0,85159940324.9,37474348818.6,44.0047%,$323.4,$142.3,0,$0,85159940324.904136,$323.4,0xdF1F0026374d4BCc490BE5E316963Cf6Df2FfF19,true
FOR,$0.0164,305000000,37795383.9,12.3919%,$5004491.8,$620153.1,0,$0,304999999.99999963055914463,$5004491.8,0x658A109C5900BC6d2357c87549B651670E5b0539,true
MILK,$0,11867.4,11867.4,100%,$0,$0,0,$0,11867.402930372559864313,$0,0x8E9f5173e16Ff93F81579d73A7f9723324d6B6aF,true
KOGE,$7.23,3440909.4,3440909.4,100%,$24877774.9,$24877774.9,0,$0,3440909.384701909189944658,$24877774.9,0xe6DF05CE8C8301223373CF5B969AFCb1498c5528,true
KHP,$0,4179.4,4179.4,100%,$0,$0,0,$0,4179.368423330832573257,$0,0x15B3d410fCd0d695E1bbe4F717F8E1B6D0Fb2D0C,true
BHC,$24.25,50000,50000,100%,$1212500,$1212500,0,$0,49999.999904265836921401,$1212500,0x6fd7c98458a943f469E1Cf4eA85B173f5Cd342F4,true
DOS,$0.002,12886997.9,12301747.9,95.4586%,$25806.6,$24634.6,0,$0,12886997.91257642,$25806.6,0xDc0f0a5719c39764b011eDd02811BD228296887C,true
crADA,$0,75121650.8,75121650.8,100%,$0,$0,0,$0,75121650.78752683,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
PSG,$6.1467,2000000,1413429.3,70.6715%,$12293433.1,$8687949.5,0,$0,2000000,$12293433.1,0xBc5609612b7C44BEf426De600B5fd1379DB2EcF1,true
JUV,$3.7202,2000000,1662422.2,83.1211%,$7440347.9,$6184499.9,0,$0,2000000,$7440347.9,0xC40C9A843E1c6D01b7578284a9028854f6683b1B,true
OG,$3.0759,2000000,724191.8,36.2096%,$6151841.8,$2227556.6,0,$0,2000000,$6151841.8,0xf05E45aD22150677a017Fbd94b84fBB63dc9b44c,true
ASR,$2.958,2000000,878113.7,43.9057%,$5916068.4,$2597490.4,0,$0,2000000,$5916068.4,0x80D5f92C2c8C682070C95495313dDB680B267320,true
ATM,$3.1007,2000000,950738.8,47.5369%,$6201381.1,$2947946.9,0,$0,2000000,$6201381.1,0x25E9d05365c867E59C1904E7463Af9F312296f9E,true
BTCST,$5.44,14999888.1,9564157.9,63.7615%,$81599391.4,$52029019,0,$0,14999888.12353508,$81599391.4,0x78650B139471520656b9E7aA7A5e9276814a38e9,true
BDO,$0.0424,26474639.3,26474639.3,100%,$1123037.8,$1123037.8,0,$0,26474639.301461286704185909,$1123037.8,0x190b589cf9Fb8DDEabBFeae36a813FFb2A702454,true
sBDO,$0,100001,100001,100%,$0,$0,0,$0,100000.999999999974848,$0,0x0d9319565be7f53CeFE84Ad201Be3f40feAE2740,true
DITTO,$0.9572,33840.8,33840.8,100%,$32391.1,$32391.1,0,$0,33840.772436699,$32391.1,0x233d91A0713155003fc4DcE0AFa871b508B3B715,true
UST,$0.2478,143039554.5,101481015.1,70.9461%,$35441465.4,$25144344.8,0,$0,143039554.543492434927998499,$35441465.4,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,true
LUNA,$2.5264,108681443.3,108681443.3,100%,$274574444.8,$274574444.8,0,$0,108681443.266803213909716056,$274574444.8,0xECCF35F941Ab67FfcAA9A1265C2fF88865caA005,true
UST,$0.2478,143039554.5,101481015.1,70.9461%,$35441465.4,$25144344.8,0,$0,143039554.543492434927998499,$35441465.4,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,true
KRT,$0,72341.1,72341.1,100%,$0,$0,0,$0,72341.138895,$0,0xfFBDB9BDCae97a962535479BB96cC2778D65F4dd,true
SDT,$0,1.6,1.6,100%,$0,$0,0,$0,1.596407,$0,0x7d5f9F8CF59986743f34BC137Fc197E2e22b7B05,true
MNT,$0,1924.3,1924.3,100%,$0,$0,0,$0,1924.349107,$0,0x41D74991509318517226755E508695c4D1CE43a6,true
MIR,$0.2173,40164956.4,5354730.3,13.3318%,$8728151.9,$1163623.8,0,$0,40164956.351640587684339348,$8728151.9,0x5B6DcF557E2aBE2323c48445E8CC948910d8c2c9,true
mAAPL,$0,2,2,100%,$0,$0,0,$0,2.01159,$0,0x900AEb8c40b26A8f8DfAF283F884b03EE7Abb3Ec,true
mGOOGL,$0,43.9,43.9,100%,$0,$0,0,$0,43.918834743324034807,$0,0x62D71B23bF15218C7d2D7E48DBbD9e9c650B173f,true
mTSLA,$0,202.2,202.2,100%,$0,$0,0,$0,202.173311389731231275,$0,0xF215A127A196e3988C09d052e16BcFD365Cd7AA3,true
mNFLX,$0,184,184,100%,$0,$0,0,$0,183.960654304858367767,$0,0xa04F060077D90Fe2647B61e4dA4aD1F97d6649dc,true
mQQQ,$0,3.2,3.2,100%,$0,$0,0,$0,3.235389,$0,0x1Cb4183Ac708e07511Ac57a2E45A835F048D7C56,true
mTWTR,$0,60.1,60.1,100%,$0,$0,0,$0,60.142519,$0,0x7426Ab52A0e057691E2544fae9C8222e958b2cfB,true
mMSFT,$0,0.1,0.1,100%,$0,$0,0,$0,0.089634,$0,0x0ab06caa3Ca5d6299925EfaA752A2D2154ECE929,true
mAMZN,$0,23.9,23.9,100%,$0,$0,0,$0,23.882371902418695477,$0,0x3947B992DC0147D2D89dF0392213781b04B25075,true
mBABA,$0,0.4,0.4,100%,$0,$0,0,$0,0.425766,$0,0xcA2f75930912B85d8B2914Ad06166483c0992945,true
mIAU,$0,0,0,100%,$0,$0,0,$0,0.005124,$0,0x1658AeD6C7dbaB2Ddbd8f5D898b0e9eAb0305813,true
mSLV,$0,3.3,3.3,100%,$0,$0,0,$0,3.305765,$0,0x211e763d0b9311c08EC92D72DdC20AB024b6572A,true
mUSO,$0,0.2,0.2,100%,$0,$0,0,$0,0.240219,$0,0x9cDDF33466cE007676C827C76E799F5109f1843C,true
mVIXY,$0,0,0,100%,$0,$0,0,$0,0.006553,$0,0x92E744307694Ece235cd02E82680ec37c657D23E,true
BAND,$1.3456,2626993.8,806063.7,30.6839%,$3534785.3,$1084609.4,0,$0,2626993.759897173288875956,$3534785.3,0xAD6cAEb32CD2c308980a548bD0Bc5AA4306c6c18,true
CREAM,$0.0002,128250,34819.7,27.1499%,$20.6,$5.6,0,$0,128249.998325625974010991,$20.6,0xd4CB328A82bDf5f03eB737f37Fa6B370aef3e888,true
JULb,$4.54,605183.8,605183.8,100%,$2747534.6,$2747534.6,0,$0,605183.823094448069939247,$2747534.6,0x32dFFc3fE8E3EF3571bF8a72c0d0015C5373f41D,true
JulD,$0.003,799383821,799383821,100%,$2396224.9,$2396224.9,0,$0,799383821.044047246603110353,$2396224.9,0x5A41F637C3f7553dBa6dDC2D3cA92641096577ea,true
