Symbol,Price,BEP20 Circulation,BEP20 Used Amount,BEP20 Used Ratio,BEP20 Circulation Market Capacity,BEP20 Used Market Capacity,BPE2 Circulation,BEP2 Circulation Market Capacity,TotalSupply,Total Market Capacity,BEP20 Contract,Need Rebalancing?
SXP-CCC,$1.9208,214310838.3,72291738.2,33.7322%,$411658326.6,$138861367.1,71057949.7,$136491448,285368788,$548149774.6,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,true
TWT-8C2,$0.3157,184780646.5,115245060.4,62.3686%,$58339330.1,$36385410.2,815219341.5,$257382746.1,999999988,$315722076.2,0x4B0F1812e5Df2A09796481Ff14017e6005508003,false
ANKR-E97,$0.0745,9058640211.7,215839581.4,2.3827%,$674843784.5,$16079455.3,941359788.3,$70128715.5,10000000000,$744972500,0xf307910A4c7bbc79691fD374889b36d8531B08e3,false
EGLD-745,$80.2924,599887,29417.6,4.9038%,$48166377.4,$2362006.4,113,$9069.4,600000,$48175446.8,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,false
Cake,$12.97,188874939.6,185877001.8,98.4127%,$2449707966.9,$2410824713.3,0,$0,188874939.625697950476905241,$2449707966.9,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,true
ALPHA,$0.4448,1000000000,281444740.2,28.1445%,$444839860,$125197838.8,0,$0,1000000000,$444839860,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,true
XVS,$18.1728,29958386.8,26152355.2,87.2956%,$544428146.4,$475261847.2,0,$0,29958386.784720079809444378,$544428146.4,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,true
BURGER,$3.6498,12450392.4,4861203.8,39.0446%,$45441992.7,$17742636.5,0,$0,12450392.428384477972356284,$45441992.7,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,true
PROM,$11.47,19250000,16880510.3,87.691%,$220797500,$193619453.5,0,$0,19250000,$220797500,0xaF53d56ff99f1322515E54FdDE93FF8b3b7DAFd5,true
CTK,$1.167,9071616.3,3288507.6,36.2505%,$10586314.4,$3837593.5,0,$0,9071616.323193,$10586314.4,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,true
SPARTA,$0.2975,5786999.6,5786978.7,99.9996%,$1721464.6,$1721458.3,0,$0,5786999.600412513691332567,$1721464.6,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,true
crADA,$0,127609815.6,127609815.6,100%,$0,$0,0,$0,127609815.60742383,$0,0x81C15D3E956e55e77E1f3F257f0A65Bd2725fC55,true
BAKE,$1.8118,265756213,159121418.9,59.875%,$481506926.5,$288302066.3,0,$0,265756213.046922683259566879,$481506926.5,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,true
ANY,$1.65,1877742.9,1877742.9,100%,$3098275.8,$3098275.8,0,$0,1877742.879834507499337258,$3098275.8,0xF68C9Df95a18B2A5a5fa1124d79EEEffBaD0B6Fa,true
RAVEN,$0.0007,335203389.4,334203410.2,99.7017%,$243377.8,$242651.7,0,$0,335203389.37693268,$243377.8,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,true
STM,$0,99000000,99000000,100%,$0,$0,0,$0,99000000,$0,0x90DF11a8ccE420675e73922419e3f4f3Fe13CCCb,true
CAN,$0.0874,11970975.3,2935292.7,24.5201%,$1046706.2,$256653.2,0,$0,11970975.348717054474398525,$1046706.2,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,true
STAX,$1.69,22140603.6,22140603.6,100%,$37417620.1,$37417620.1,0,$0,22140603.596471713570608714,$37417620.1,0x0Da6Ed8B13214Ff28e9Ca979Dd37439e8a88F6c4,true
